WONum,Created,Ctr,Units
WO-PS-17-026880,11/12/2018 1:54PM,502,15
WO-PS-17-026991,11/13/2018 12:57PM,610,5
WO-PS-17-026999,11/13/2018 4:01PM,604,5
WO-PS-18-000196,11/12/2018 1:29PM,604,5
WO-PS-18-000405,11/12/2018 12:42PM,607,5
WO-PS-18-000464,11/12/2018 8:35AM,402,5
WO-PS-18-000494,11/12/2018 1:33PM,307,5
WO-PS-18-000507,11/13/2018 2:18PM,510,5
WO-PS-18-000509,11/12/2018 2:49PM,102,5
WO-PS-18-000638,11/12/2018 4:28PM,304,5
WO-PS-18-000712,11/13/2018 11:51AM,402,5
WO-PS-18-000888,11/13/2018 2:16PM,210,5
WO-PS-18-000986,11/13/2018 8:31AM,307,5
WO-PS-18-000993,11/13/2018 9:44AM,209,25
WO-PS-18-001092,11/12/2018 8:46AM,310,5
WO-PS-18-001105,11/13/2018 9:58AM,506,25
WO-PS-18-001210,11/12/2018 2:43PM,101,5
WO-PS-18-001211,11/12/2018 2:44PM,209,15
WO-PS-18-001226,11/12/2018 7:31AM,303,5
WO-PS-18-001227,11/12/2018 7:36AM,210,5
WO-PS-18-001228,11/13/2018 7:40AM,509,5
WO-PS-18-001235,11/13/2018 8:24AM,600,15
WO-PS-18-001251,11/12/2018 10:04AM,600,15
WO-PS-18-001252,11/12/2018 10:12AM,600,15
WO-PS-18-001259,11/12/2018 11:55AM,503,15
WO-PS-18-001311,11/12/2018 8:03AM,600,15
WO-PS-18-001350,11/13/2018 2:45PM,209,15
WO-PS-18-001394,11/13/2018 9:11AM,600,15
WO-PS-18-001421,11/12/2018 11:16AM,307,5
WO-PS-18-001449,11/12/2018 2:17PM,507,25
WO-PS-18-001480,11/12/2018 8:16AM,600,15
WO-PS-18-001601,11/12/2018 11:01AM,306,15
WO-PS-18-001603,11/12/2018 12:11PM,304,15
WO-PS-18-001643,11/12/2018 9:18AM,603,25
WO-PS-18-001671,11/12/2018 1:14PM,200,15
WO-PS-18-001709,11/13/2018 7:29AM,200,15
WO-PS-18-001712,11/13/2018 7:50AM,604,25
WO-PS-18-001728,11/13/2018 9:30AM,506,5
WO-PS-18-001745,11/13/2018 1:47PM,307,5
WO-PS-18-001804,11/13/2018 12:06PM,309,15
WO-PS-18-001824,11/12/2018 2:08PM,203,5
WO-PS-18-001839,11/13/2018 7:17AM,605,25
WO-PS-18-001858,11/13/2018 9:07AM,510,5
WO-PS-18-001873,11/12/2018 9:44AM,603,15
WO-PS-18-001930,11/12/2018 3:23PM,200,25
WO-PS-18-001935,11/12/2018 4:19PM,104,5
WO-PS-18-002055,11/13/2018 8:23AM,604,15
WO-PS-18-002067,11/13/2018 8:51AM,309,15
WO-PS-18-002093,11/13/2018 1:23PM,509,5
WO-PS-18-002102,11/12/2018 2:21PM,507,15
WO-PS-18-002120,11/13/2018 7:12AM,209,25
WO-PS-18-002129,11/12/2018 7:31AM,506,15
WO-PS-18-002144,11/12/2018 9:08AM,309,15
WO-PS-18-002168,11/13/2018 1:56PM,201,25
WO-PS-18-002191,11/12/2018 7:54AM,200,15
WO-PS-18-002199,11/12/2018 8:39AM,605,15
WO-PS-18-002205,11/12/2018 9:24AM,101,15
WO-PS-18-002212,11/12/2018 10:20AM,204,15
WO-PS-18-002214,11/13/2018 10:59AM,507,15
WO-PS-18-002231,11/13/2018 12:36PM,307,5
WO-PS-18-002259,11/13/2018 2:09PM,301,15
WO-PS-18-002288,11/13/2018 7:31AM,506,25
WO-PS-18-002306,11/12/2018 7:49AM,200,25
WO-PS-18-002370,11/13/2018 7:11AM,604,15
WO-PS-18-002389,11/12/2018 8:48AM,200,15
WO-PS-18-002423,11/12/2018 2:27PM,309,15
WO-PS-18-002457,11/13/2018 8:19AM,210,15
WO-PS-18-002487,11/12/2018 1:23PM,309,15
WO-PS-18-002509,11/12/2018 4:05PM,501,5
WO-PS-18-002532,11/13/2018 7:37AM,600,25
WO-PS-18-002576,11/12/2018 2:12PM,508,5
WO-PS-18-002674,11/13/2018 12:12PM,510,15
WO-PS-18-002750,11/12/2018 8:58AM,506,25
WO-PS-18-002770,11/12/2018 12:14PM,506,25
WO-PS-18-002796,11/13/2018 1:39PM,301,5
WO-PS-18-002815,11/13/2018 7:03AM,200,25
WO-PS-18-002832,11/12/2018 8:05AM,209,15
WO-PS-18-002869,11/12/2018 2:18PM,307,15
WO-PS-18-002904,11/13/2018 7:07AM,205,25
WO-PS-18-002908,11/13/2018 7:30AM,200,15
WO-PS-18-002935,11/13/2018 9:09AM,600,25
WO-PS-18-002952,11/13/2018 1:27PM,300,15
WO-PS-18-002978,11/13/2018 7:42AM,400,15
